provider_id,npi,provider_name,specialty,state,network_status,phone
p-000359,2941289685,Hernandez Clinic,Orthopedics,NY,OUT,295-612-9447
p-000360,9063016667,Davis Clinic,OBGYN,CA,IN,202-992-2526
p-000361,8289800644,Wilson Clinic,PrimaryCare,IL,IN,607-423-8039
p-000362,7419751815,Garcia Clinic,Orthopedics,TX,IN,760-791-3139
p-000363,8956094389,Gonzalez Clinic,Endocrinology,NC,OUT,980-249-1752
p-000364,8888575793,Smith Clinic,PrimaryCare,MD,OUT,361-651-8479
p-000365,2837384013,Lopez Clinic,Cardiology,VA,OUT,509-362-5489
p-000366,8106401208,Jones Clinic,PrimaryCare,MD,IN,864-369-1848
p-000367,7981917208,Lopez Clinic,Pulmonology,NY,IN,639-871-2494
p-000368,1004665657,Davis Clinic,PrimaryCare,MD,IN,431-731-8291
p-000369,9624563057,Garcia Clinic,Orthopedics,VA,IN,632-910-3165
p-000370,1304205279,Miller Clinic,PrimaryCare,IL,IN,304-305-6133
p-000371,9078786223,Williams Clinic,OBGYN,FL,IN,971-336-3340
p-000372,9626333315,Hernandez Clinic,Cardiology,MD,IN,939-418-3480
p-000373,1933058809,Anderson Clinic,PrimaryCare,NY,IN,326-803-7291
p-000374,9432088993,Garcia Clinic,Orthopedics,FL,IN,483-860-2380
p-000375,7904559790,Gonzalez Clinic,Pulmonology,TX,IN,874-508-4366
p-000376,6977525103,Hernandez Clinic,PrimaryCare,GA,IN,445-706-7322
p-000377,6330405542,Hernandez Clinic,Psychiatry,MD,IN,212-569-6185
p-000378,7102562415,Rodriguez Clinic,Pulmonology,MO,IN,682-988-2195
p-000379,3522707023,Smith Clinic,Endocrinology,VA,IN,261-607-9300
p-000380,7079234115,Lopez Clinic,OBGYN,CA,IN,749-750-3501
p-000381,5654014006,Johnson Clinic,Psychiatry,CA,OUT,359-749-6353
p-000382,3762327862,Jones Clinic,Pulmonology,NY,IN,444-259-5005
p-000383,9266213260,Johnson Clinic,OBGYN,MD,IN,256-516-3877
p-000384,9644330231,Williams Clinic,Pulmonology,MD,IN,708-555-9568
p-000385,8390631634,Williams Clinic,Endocrinology,GA,IN,999-475-2934
p-000386,7138902282,Rodriguez Clinic,PrimaryCare,VA,IN,790-842-2262
p-000387,2546720356,Davis Clinic,Orthopedics,IL,IN,576-361-5179
p-000388,1495354059,Lopez Clinic,Psychiatry,MD,IN,212-450-1753
p-000389,6858234447,Anderson Clinic,Cardiology,IL,IN,236-766-7870
p-000390,2382129132,Miller Clinic,Pulmonology,TX,IN,279-785-7108
p-000391,4873807154,Williams Clinic,Cardiology,MD,IN,247-610-2129
p-000392,9014547420,Gonzalez Clinic,Orthopedics,IL,IN,288-766-8483
p-000393,2584496586,Jones Clinic,Psychiatry,VA,IN,957-837-4974
p-000394,9469064524,Gonzalez Clinic,Orthopedics,IL,IN,759-978-5016
p-000395,2761091683,Brown Clinic,Psychiatry,MO,IN,910-209-6488
p-000396,2320748157,Brown Clinic,Psychiatry,VA,OUT,629-703-1981
p-000397,8351491401,Johnson Clinic,PrimaryCare,MO,OUT,732-622-7102
p-000398,9954587710,Johnson Clinic,Psychiatry,IL,IN,603-276-2020
p-000399,1561387824,Jones Clinic,Endocrinology,NY,OUT,602-917-6345
p-000400,7239547458,Brown Clinic,PrimaryCare,FL,OUT,339-998-2785
p-000401,1453796587,Davis Clinic,OBGYN,MO,IN,323-748-6870
p-000402,7235936374,Davis Clinic,Endocrinology,TX,OUT,292-361-5984
p-000403,1173215225,Wilson Clinic,Orthopedics,NC,IN,293-928-5066
p-000404,9800175892,Jones Clinic,Endocrinology,FL,IN,378-231-7625
p-000405,3362751242,Johnson Clinic,OBGYN,IL,IN,343-324-1195
p-000406,5220094152,Williams Clinic,Cardiology,VA,IN,581-902-2376
p-000407,7812328180,Anderson Clinic,Orthopedics,NC,IN,266-402-8265
p-000408,8769111397,Johnson Clinic,PrimaryCare,MO,OUT,251-372-8096
p-000409,3130846652,Miller Clinic,Pulmonology,NY,IN,562-419-4066
p-000410,6496933442,Anderson Clinic,Cardiology,CA,IN,834-831-5026
p-000411,7437690455,Anderson Clinic,Psychiatry,CA,IN,289-486-7275
p-000412,2800599868,Hernandez Clinic,Orthopedics,MO,IN,845-756-1319
p-000413,6837342064,Rodriguez Clinic,Orthopedics,NY,IN,779-714-6269
p-000414,2161512446,Smith Clinic,Endocrinology,NY,IN,230-997-5602
p-000415,1685583357,Brown Clinic,Pulmonology,VA,IN,746-954-1916
p-000416,6963229328,Anderson Clinic,Orthopedics,TX,OUT,377-380-4875
p-000417,3540741595,Lopez Clinic,Pulmonology,NC,IN,781-777-3328
p-000418,5073211715,Wilson Clinic,Orthopedics,NC,OUT,704-755-6063
p-000419,3106408413,Johnson Clinic,PrimaryCare,MO,IN,424-220-9625
p-000420,5297902885,Anderson Clinic,Psychiatry,IL,IN,333-548-3907
p-000421,1255790920,Williams Clinic,Psychiatry,FL,IN,345-992-2817
p-000422,8991514523,Johnson Clinic,Endocrinology,GA,IN,878-605-2655
p-000423,6591038760,Williams Clinic,Cardiology,FL,IN,647-854-8982
p-000424,8675071314,Brown Clinic,Pulmonology,FL,IN,379-587-6026
p-000425,1546957087,Lopez Clinic,PrimaryCare,CA,OUT,786-600-1530
p-000426,7882206934,Anderson Clinic,Orthopedics,MO,OUT,426-854-2705
p-000427,5899025962,Lopez Clinic,PrimaryCare,IL,IN,527-371-2453
p-000428,2918260963,Jones Clinic,Cardiology,FL,IN,269-558-5205
p-000429,4094152811,Smith Clinic,OBGYN,MD,IN,629-370-7783
p-000430,9082143437,Garcia Clinic,Psychiatry,IL,IN,690-791-4695
p-000431,2938264714,Gonzalez Clinic,Orthopedics,MO,IN,220-526-5278
p-000432,5613655595,Williams Clinic,OBGYN,MD,IN,276-760-2525
p-000433,5428082088,Hernandez Clinic,Cardiology,FL,IN,644-360-1877
p-000434,2422040412,Brown Clinic,OBGYN,MD,IN,939-947-9849
p-000435,8132213650,Jones Clinic,Cardiology,CA,IN,602-785-9043
p-000436,5529063864,Smith Clinic,OBGYN,MO,IN,877-840-8869
p-000437,1416555576,Brown Clinic,Cardiology,TX,IN,283-684-2892
p-000438,8665986525,Davis Clinic,OBGYN,CA,OUT,471-293-9914
p-000439,6089026099,Anderson Clinic,OBGYN,NY,IN,656-245-5313
p-000440,7292376027,Brown Clinic,Orthopedics,IL,IN,263-354-2584
p-000441,8164611781,Gonzalez Clinic,Psychiatry,MD,IN,974-803-4727
p-000442,7539441086,Rodriguez Clinic,Pulmonology,GA,OUT,686-786-4860
p-000443,2283560032,Miller Clinic,Orthopedics,IL,IN,714-784-9467
p-000444,3664052763,Johnson Clinic,Orthopedics,NC,IN,371-416-4157
p-000445,5478258887,Johnson Clinic,Pulmonology,MO,IN,842-351-5225
p-000446,1287814151,Miller Clinic,Psychiatry,FL,IN,533-482-9514
p-000447,8652281649,Johnson Clinic,OBGYN,IL,IN,780-802-2641
p-000448,7059726570,Miller Clinic,Pulmonology,MD,IN,823-684-1613
p-000449,6477862024,Williams Clinic,Psychiatry,MO,IN,910-611-1635
p-000450,2020395327,Lopez Clinic,OBGYN,NY,OUT,581-220-6535
p-000451,6630484376,Wilson Clinic,OBGYN,CA,OUT,901-300-4734
p-000452,8489236010,Gonzalez Clinic,Orthopedics,MO,IN,946-626-2462
p-000453,2897158366,Anderson Clinic,Orthopedics,TX,IN,696-977-9462
p-000454,4526242854,Rodriguez Clinic,Orthopedics,FL,IN,518-926-9303
p-000455,1124331395,Brown Clinic,Orthopedics,NY,IN,259-455-1541
p-000456,6150137259,Garcia Clinic,Orthopedics,IL,IN,606-850-3029
p-000457,6334083514,Davis Clinic,Psychiatry,VA,IN,685-800-6730
p-000458,9136780852,Lopez Clinic,Orthopedics,FL,IN,491-228-7333
p-000459,5144289583,Wilson Clinic,Cardiology,VA,IN,893-411-5408
p-000460,3204526134,Wilson Clinic,Orthopedics,NY,OUT,898-209-8767
p-000461,3780439666,Martinez Clinic,Orthopedics,MO,IN,458-822-6004
p-000462,6792661894,Jones Clinic,Cardiology,CA,IN,893-733-7506
p-000463,1439427140,Rodriguez Clinic,Pulmonology,NC,OUT,583-774-5631
p-000464,3939532043,Davis Clinic,PrimaryCare,CA,IN,483-855-6327
p-000465,2283298067,Williams Clinic,Psychiatry,CA,IN,258-814-7620
p-000466,3923823693,Lopez Clinic,PrimaryCare,FL,IN,502-465-7857
p-000467,9741628563,Lopez Clinic,Psychiatry,NY,IN,551-943-4643
p-000468,3397657114,Jones Clinic,PrimaryCare,GA,IN,958-464-3999
p-000469,3810775408,Brown Clinic,Endocrinology,FL,IN,514-630-6428
p-000470,6557907251,Wilson Clinic,PrimaryCare,FL,IN,849-797-2166
p-000471,4820055862,Rodriguez Clinic,PrimaryCare,IL,OUT,590-742-5888
p-000472,4668931881,Williams Clinic,Cardiology,NY,IN,783-668-3346
p-000473,5642049890,Garcia Clinic,Pulmonology,FL,OUT,520-849-1950
p-000474,7236521132,Brown Clinic,Orthopedics,VA,IN,790-982-3595
p-000475,4349011298,Williams Clinic,Psychiatry,IL,IN,639-613-8029
p-000476,2646331504,Smith Clinic,Psychiatry,IL,IN,582-214-6279
p-000477,1818520766,Hernandez Clinic,PrimaryCare,GA,IN,454-431-6641
p-000478,1553753599,Miller Clinic,Psychiatry,CA,IN,371-266-1749
p-000479,9368586475,Davis Clinic,Pulmonology,CA,IN,736-545-8105
p-000480,9166381136,Garcia Clinic,Orthopedics,MO,IN,613-219-4742
p-000481,1563524533,Lopez Clinic,PrimaryCare,TX,IN,373-326-7006
p-000482,8045125420,Gonzalez Clinic,Psychiatry,VA,IN,808-249-2771
p-000483,9797102584,Johnson Clinic,OBGYN,VA,IN,326-760-5140
p-000484,4014501050,Brown Clinic,Pulmonology,IL,IN,209-508-7895
p-000485,5884080139,Wilson Clinic,PrimaryCare,MD,IN,832-320-5631
p-000486,4370518841,Davis Clinic,Cardiology,MD,IN,996-469-9571
p-000487,7054856909,Williams Clinic,PrimaryCare,TX,IN,412-904-8875
p-000488,2007192464,Smith Clinic,Pulmonology,FL,IN,313-787-9095
p-000489,5077839614,Gonzalez Clinic,Psychiatry,MO,IN,940-303-5192
p-000490,9492399988,Jones Clinic,OBGYN,TX,IN,378-240-5760
p-000491,6638034087,Lopez Clinic,PrimaryCare,FL,IN,976-246-1158
p-000492,6027311960,Garcia Clinic,OBGYN,MO,OUT,474-950-2522
p-000493,8795212264,Williams Clinic,PrimaryCare,FL,IN,667-478-7319
p-000494,8730507757,Hernandez Clinic,Orthopedics,IL,IN,335-912-1960
p-000495,5740411708,Anderson Clinic,Psychiatry,MO,IN,782-894-8178
p-000496,7920580262,Gonzalez Clinic,Endocrinology,MO,IN,900-944-3140
p-000497,9248046539,Johnson Clinic,OBGYN,IL,IN,264-467-6148
p-000498,3426709025,Hernandez Clinic,Orthopedics,VA,IN,735-904-2560
p-000499,6362597344,Garcia Clinic,Pulmonology,NY,IN,594-352-1894
p-000500,8940731272,Wilson Clinic,OBGYN,VA,OUT,276-969-9055
